negotiation_id,customer_id,invoice_amount,offer_amount,offer_discount_pct,days_to_payment,customer_score,true_accept_probability,accepted
NEG000177,CUST007642,24900.0,22900.0,8,30,0.795,0.923,1
NEG000178,CUST004997,24400.0,21500.0,12,7,0.387,0.807,1
NEG000179,CUST003670,19800.0,14800.0,25,30,0.627,0.98,1
NEG000180,CUST009438,25300.0,24000.0,5,15,0.696,0.803,0
NEG000181,CUST005889,39900.0,39100.0,2,30,0.701,0.794,0
NEG000182,CUST008121,15100.0,14800.0,2,0,0.629,0.605,0
NEG000183,CUST007263,33600.0,29600.0,12,30,0.745,0.949,1
NEG000184,CUST001710,40600.0,40600.0,0,30,0.74,0.761,0
NEG000185,CUST003016,8400.0,7700.0,8,30,0.628,0.891,1
NEG000186,CUST009058,19500.0,17900.0,8,0,0.71,0.815,0
NEG000187,CUST009379,80400.0,76400.0,5,30,0.735,0.855,1
NEG000188,CUST005883,26700.0,24600.0,8,15,0.717,0.868,1
NEG000189,CUST007710,11600.0,11000.0,5,0,0.794,0.782,1
NEG000190,CUST000427,49300.0,45400.0,8,0,0.702,0.802,1
NEG000191,CUST001695,9800.0,8600.0,12,7,0.69,0.902,1
NEG000192,CUST009549,11100.0,10200.0,8,7,0.73,0.85,1
NEG000193,CUST001192,39200.0,32100.0,18,30,0.788,0.98,1
NEG000194,CUST007090,102100.0,97000.0,5,0,0.815,0.756,1
NEG000195,CUST002294,10200.0,9000.0,12,15,0.836,0.942,1
NEG000196,CUST001901,13300.0,12200.0,8,15,0.714,0.871,0
NEG000197,CUST007853,6500.0,5700.0,12,0,0.678,0.882,1
NEG000198,CUST008470,17300.0,15900.0,8,45,0.788,0.947,1
NEG000199,CUST002143,7800.0,6400.0,18,15,0.729,0.968,1
NEG000200,CUST008746,17100.0,16800.0,2,30,0.803,0.84,0
NEG000201,CUST008925,11200.0,10300.0,8,0,0.682,0.807,1
NEG000202,CUST001059,19200.0,18200.0,5,30,0.68,0.855,1
NEG000203,CUST000656,102900.0,97800.0,5,30,0.874,0.888,1
NEG000204,CUST004375,16100.0,14800.0,8,0,0.737,0.826,1
NEG000205,CUST001838,21600.0,21600.0,0,7,0.794,0.673,1
NEG000206,CUST002452,19300.0,17800.0,8,0,0.701,0.812,0
NEG000207,CUST006121,47300.0,41600.0,12,0,0.862,0.915,1
NEG000208,CUST004535,14200.0,14200.0,0,15,0.607,0.619,1
NEG000209,CUST006581,10300.0,10100.0,2,30,0.777,0.833,1
NEG000210,CUST004396,22100.0,18100.0,18,15,0.69,0.963,1
NEG000211,CUST002936,13900.0,13200.0,5,45,0.801,0.923,1
NEG000212,CUST003736,7400.0,7400.0,0,30,0.729,0.77,1
NEG000213,CUST003859,12200.0,12000.0,2,15,0.691,0.729,1
NEG000214,CUST006465,11800.0,11600.0,2,30,0.743,0.82,1
NEG000215,CUST004552,33700.0,32000.0,5,7,0.635,0.735,1
NEG000216,CUST006619,81100.0,60800.0,25,45,0.842,0.98,1
NEG000217,CUST001974,16900.0,16900.0,0,30,0.647,0.727,1
NEG000218,CUST009377,10900.0,9600.0,12,15,0.628,0.907,1
NEG000219,CUST004052,12900.0,11900.0,8,7,0.8,0.871,1
NEG000220,CUST004379,24700.0,20300.0,18,0,0.713,0.949,1
NEG000221,CUST004356,11400.0,9300.0,18,15,0.749,0.969,1
NEG000222,CUST008102,23200.0,20400.0,12,0,0.261,0.717,1
NEG000223,CUST000278,16700.0,16700.0,0,15,0.788,0.718,1
NEG000224,CUST008815,8000.0,6000.0,25,15,0.684,0.98,1
NEG000225,CUST003573,52600.0,46300.0,12,7,0.816,0.92,1
NEG000226,CUST002683,5000.0,4100.0,18,7,0.336,0.901,0
NEG000227,CUST005614,43700.0,38500.0,12,7,0.582,0.867,1
NEG000228,CUST004957,14500.0,14200.0,2,45,0.791,0.884,1
NEG000229,CUST007175,19700.0,19300.0,2,15,0.802,0.777,0
NEG000230,CUST000660,5000.0,5000.0,0,0,0.749,0.614,1
NEG000231,CUST005326,39700.0,39700.0,0,30,0.322,0.529,0
NEG000232,CUST000768,36300.0,31900.0,12,30,0.84,0.959,1
NEG000233,CUST004718,23800.0,19500.0,18,0,0.78,0.956,1
NEG000234,CUST004673,65600.0,57700.0,12,7,0.875,0.928,1
NEG000235,CUST001597,14400.0,13200.0,8,0,0.191,0.549,1
NEG000236,CUST001961,5200.0,4800.0,8,0,0.793,0.848,1
NEG000237,CUST003115,15000.0,13200.0,12,0,0.663,0.876,1
NEG000238,CUST004222,34800.0,30600.0,12,0,0.829,0.911,1
NEG000239,CUST005855,100500.0,88400.0,12,15,0.898,0.94,1
NEG000240,CUST003478,20800.0,18300.0,12,45,0.792,0.97,1
NEG000241,CUST002797,21300.0,20200.0,5,0,0.743,0.756,1
NEG000242,CUST009238,15800.0,13000.0,18,0,0.797,0.959,1
NEG000243,CUST008773,14800.0,14800.0,0,0,0.694,0.575,0
NEG000244,CUST003142,7000.0,7000.0,0,0,0.344,0.364,0
NEG000245,CUST009586,16200.0,15900.0,2,15,0.662,0.712,1
NEG000246,CUST004072,12800.0,12200.0,5,45,0.615,0.884,1
NEG000247,CUST007594,21800.0,19200.0,12,0,0.808,0.909,1
NEG000248,CUST007111,15000.0,13200.0,12,15,0.748,0.929,1
NEG000249,CUST007982,50300.0,41200.0,18,30,0.735,0.976,1
NEG000250,CUST000673,11500.0,10900.0,5,15,0.795,0.843,1
NEG000251,CUST004320,22900.0,21800.0,5,15,0.678,0.796,1
NEG000252,CUST005576,15000.0,14700.0,2,0,0.474,0.51,1
NEG000253,CUST004577,28800.0,28800.0,0,0,0.773,0.615,1
NEG000254,CUST003780,5200.0,5100.0,2,7,0.668,0.676,0
NEG000255,CUST006426,58600.0,55700.0,5,15,0.845,0.846,0
NEG000256,CUST006772,13200.0,9900.0,25,15,0.711,0.98,1
NEG000257,CUST009679,12600.0,11600.0,8,45,0.684,0.933,1
NEG000258,CUST003735,24800.0,18600.0,25,30,0.356,0.979,1
NEG000259,CUST002060,113100.0,92700.0,18,7,0.832,0.961,1
NEG000260,CUST004895,7300.0,6700.0,8,0,0.734,0.828,1
NEG000261,CUST001762,26700.0,23500.0,12,15,0.304,0.806,0
NEG000262,CUST001360,7200.0,6800.0,5,7,0.212,0.505,1
NEG000263,CUST003318,5000.0,4800.0,5,0,0.339,0.539,0
NEG000264,CUST003321,41500.0,41500.0,0,15,0.861,0.743,1
NEG000265,CUST007244,5000.0,4600.0,8,0,0.669,0.804,1
NEG000266,CUST004472,138200.0,131300.0,5,0,0.863,0.762,1
NEG000267,CUST003281,21700.0,19100.0,12,7,0.796,0.921,1
NEG000268,CUST007106,20400.0,20400.0,0,30,0.8,0.795,1
NEG000269,CUST009255,16700.0,16700.0,0,15,0.74,0.693,1
NEG000270,CUST003260,60000.0,58800.0,2,15,0.864,0.788,1
NEG000271,CUST001299,5000.0,4400.0,12,0,0.799,0.91,1
NEG000272,CUST000798,26100.0,24800.0,5,30,0.317,0.701,1
NEG000273,CUST006934,42200.0,31600.0,25,7,0.63,0.979,1
NEG000274,CUST005275,22300.0,16700.0,25,0,0.721,0.98,1
NEG000275,CUST001816,33500.0,31800.0,5,0,0.712,0.736,1
NEG000276,CUST000927,50500.0,37900.0,25,0,0.223,0.934,1
NEG000277,CUST007461,10800.0,9500.0,12,7,0.802,0.924,1
NEG000278,CUST007688,26500.0,26000.0,2,0,0.668,0.622,1
NEG000279,CUST004890,18100.0,18100.0,0,7,0.748,0.649,1
NEG000280,CUST003684,72100.0,72100.0,0,15,0.7,0.643,1
NEG000281,CUST004466,12600.0,9400.0,25,30,0.41,0.98,1
NEG000282,CUST006836,20400.0,16700.0,18,0,0.344,0.881,1
NEG000283,CUST006658,23500.0,21600.0,8,7,0.692,0.834,1
NEG000284,CUST008303,35300.0,35300.0,0,45,0.82,0.854,1
NEG000285,CUST007990,5000.0,4600.0,8,15,0.781,0.89,1
NEG000286,CUST009339,11100.0,10200.0,8,0,0.78,0.842,0
NEG000287,CUST005261,43100.0,43100.0,0,15,0.714,0.665,1
NEG000288,CUST008389,24200.0,23700.0,2,15,0.796,0.773,1
NEG000289,CUST005746,47500.0,43700.0,8,0,0.789,0.834,1
NEG000290,CUST006947,27100.0,23800.0,12,7,0.751,0.912,1
NEG000291,CUST008045,30400.0,29800.0,2,0,0.805,0.697,1
NEG000292,CUST008498,65500.0,65500.0,0,7,0.751,0.626,1
NEG000293,CUST006955,32300.0,30700.0,5,15,0.685,0.796,1
NEG000294,CUST005961,59400.0,52300.0,12,7,0.778,0.911,1
NEG000295,CUST001538,22700.0,18600.0,18,30,0.803,0.98,1
NEG000296,CUST003731,31300.0,29700.0,5,7,0.798,0.807,1
NEG000297,CUST006470,13500.0,11100.0,18,7,0.75,0.962,1
NEG000298,CUST002232,16300.0,16300.0,0,7,0.783,0.67,1
NEG000299,CUST002482,103700.0,95400.0,8,0,0.75,0.801,1
NEG000300,CUST000220,20300.0,16600.0,18,7,0.752,0.961,1
NEG000301,CUST006912,5000.0,4100.0,18,30,0.631,0.972,1
NEG000302,CUST003162,12800.0,10500.0,18,0,0.651,0.942,1
NEG000303,CUST006420,9800.0,9800.0,0,7,0.795,0.68,0
NEG000304,CUST005846,5300.0,5000.0,5,7,0.727,0.788,1
NEG000305,CUST008689,177100.0,155800.0,12,30,0.878,0.949,1
NEG000306,CUST000168,5000.0,4400.0,12,0,0.792,0.909,1
NEG000307,CUST002147,17300.0,17300.0,0,30,0.272,0.51,1
NEG000308,CUST008109,11600.0,11000.0,5,15,0.718,0.816,1
NEG000309,CUST001343,5000.0,4900.0,2,30,0.681,0.799,1
NEG000310,CUST002715,15500.0,14700.0,5,7,0.726,0.784,1
NEG000311,CUST002289,23800.0,23800.0,0,0,0.36,0.365,0
NEG000312,CUST009952,31900.0,31900.0,0,15,0.659,0.64,0
NEG000313,CUST003109,11500.0,11300.0,2,7,0.302,0.451,1
NEG000314,CUST007503,16500.0,15700.0,5,7,0.316,0.565,1
NEG000315,CUST000999,26500.0,21700.0,18,7,0.659,0.951,1
NEG000316,CUST007514,7300.0,7300.0,0,0,0.621,0.534,1
NEG000317,CUST002072,19800.0,19400.0,2,15,0.799,0.776,1
NEG000318,CUST004462,15400.0,15400.0,0,0,0.613,0.524,0
NEG000319,CUST005089,9500.0,9000.0,5,45,0.779,0.92,1
NEG000320,CUST001427,28400.0,25000.0,12,0,0.302,0.735,1
NEG000321,CUST007371,208800.0,171200.0,18,15,0.776,0.955,1
NEG000322,CUST008185,37000.0,30300.0,18,15,0.68,0.961,1
NEG000323,CUST005421,5900.0,5800.0,2,0,0.743,0.675,1
NEG000324,CUST001824,17600.0,16700.0,5,15,0.74,0.822,1
NEG000325,CUST007388,17000.0,13900.0,18,0,0.306,0.872,1
NEG000326,CUST002700,10100.0,8300.0,18,7,0.694,0.957,1
NEG000327,CUST001907,30200.0,30200.0,0,15,0.699,0.664,1
NEG000328,CUST006910,13500.0,13200.0,2,30,0.802,0.841,1
NEG000329,CUST008283,5000.0,4600.0,8,15,0.8,0.895,1
NEG000330,CUST003995,87500.0,77000.0,12,30,0.862,0.956,1
NEG000331,CUST003845,47100.0,44700.0,5,0,0.792,0.768,1
NEG000332,CUST001373,11800.0,10400.0,12,30,0.75,0.952,1
NEG000333,CUST001409,6500.0,6500.0,0,30,0.703,0.758,0
NEG000334,CUST000277,75600.0,75600.0,0,15,0.825,0.709,1
NEG000335,CUST007307,51600.0,51600.0,0,7,0.85,0.689,1
NEG000336,CUST005482,317000.0,301200.0,5,15,0.819,0.742,0
NEG000337,CUST004870,15800.0,14500.0,8,0,0.681,0.805,1
NEG000338,CUST001340,19000.0,19000.0,0,0,0.798,0.634,0
NEG000339,CUST004106,5000.0,4100.0,18,15,0.35,0.921,1
NEG000340,CUST009911,19100.0,19100.0,0,0,0.378,0.378,1
NEG000341,CUST006846,23700.0,23700.0,0,0,0.871,0.673,1
NEG000342,CUST000085,29400.0,27900.0,5,7,0.75,0.788,1
NEG000343,CUST003565,6100.0,4600.0,25,45,0.704,0.98,1
NEG000344,CUST002516,10700.0,9800.0,8,30,0.629,0.891,1
NEG000345,CUST004193,10100.0,9300.0,8,0,0.704,0.816,1
NEG000346,CUST005716,21900.0,21500.0,2,7,0.355,0.478,1
NEG000347,CUST005666,12200.0,11600.0,5,0,0.637,0.708,1
NEG000348,CUST007372,6800.0,6700.0,2,0,0.553,0.563,1
NEG000349,CUST002863,68000.0,55800.0,18,45,0.8,0.98,1
NEG000350,CUST003890,115400.0,115400.0,0,30,0.799,0.757,1
NEG000351,CUST002330,12000.0,9000.0,25,15,0.753,0.98,1
NEG000352,CUST008676,11900.0,10900.0,8,7,0.685,0.836,1
NEG000353,CUST009825,18600.0,15300.0,18,30,0.652,0.973,0
NEG000354,CUST007437,48500.0,46100.0,5,7,0.361,0.574,1
NEG000355,CUST008297,16700.0,14700.0,12,15,0.78,0.933,1
NEG000356,CUST003532,133900.0,127200.0,5,0,0.849,0.758,1
NEG000357,CUST009846,20000.0,16400.0,18,0,0.8,0.959,1
NEG000358,CUST002413,44900.0,33700.0,25,0,0.699,0.979,1
NEG000359,CUST003989,23900.0,23900.0,0,45,0.678,0.809,1
NEG000360,CUST003766,15100.0,14800.0,2,0,0.729,0.663,1
NEG000361,CUST001566,10800.0,9900.0,8,7,0.688,0.837,1
NEG000362,CUST008097,70100.0,52600.0,25,0,0.814,0.98,1
NEG000363,CUST007936,85600.0,70200.0,18,0,0.752,0.947,1
NEG000364,CUST006160,32300.0,28400.0,12,7,0.802,0.92,1
NEG000365,CUST000142,12000.0,11000.0,8,7,0.752,0.857,1
NEG000366,CUST003229,23100.0,21900.0,5,7,0.734,0.784,1
NEG000367,CUST004014,84200.0,77500.0,8,30,0.828,0.919,1
NEG000368,CUST006125,97900.0,80300.0,18,15,0.839,0.97,1
NEG000369,CUST007665,7600.0,7400.0,2,7,0.302,0.453,0
NEG000370,CUST008306,18000.0,17100.0,5,30,0.438,0.764,0
NEG000371,CUST003843,47700.0,42000.0,12,30,0.805,0.954,1
NEG000372,CUST000706,28600.0,27200.0,5,45,0.681,0.896,0
NEG000373,CUST008468,39100.0,34400.0,12,0,0.805,0.905,1
NEG000374,CUST006316,18500.0,17600.0,5,45,0.711,0.905,0
NEG000375,CUST001813,8300.0,6800.0,18,0,0.65,0.943,1
NEG000376,CUST002205,234300.0,215600.0,8,0,0.814,0.779,0
NEG000377,CUST009425,40200.0,37000.0,8,15,0.674,0.852,1
NEG000378,CUST009439,12400.0,11800.0,5,30,0.667,0.853,1
NEG000379,CUST005399,10300.0,10300.0,0,7,0.793,0.678,1
NEG000380,CUST008612,5000.0,5000.0,0,15,0.791,0.724,1
NEG000381,CUST009952,6400.0,6300.0,2,0,0.659,0.627,1
NEG000382,CUST000600,14100.0,13400.0,5,30,0.707,0.865,1
NEG000383,CUST003327,5700.0,5600.0,2,30,0.8,0.842,0
NEG000384,CUST001849,43400.0,32600.0,25,0,0.692,0.979,1
NEG000385,CUST004669,25600.0,25100.0,2,7,0.659,0.66,0
